sentence,nes
The National Center for Airborne Laser Mapping NCALM provided the LiDAR data for Bald Point via a Seed grant to P,O O O O O O O O O O O O O O O O O O O O O
They are 1 tidal records from 16 locations 2 time series of water velocity from two locations 3 time series of surface and bottom salinity data from two locations 4 wind and atmospheric pressure data and 5 river stream flow data,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
In addition to the KIF5A locus data was also extracted for a panel of 240 715 common variant sites and used to perform a single unified sample QC as described below,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
9 Keeping with the objective of operational forecasting potential models included in this study were benchmarked on the Texas Advanced Computing Cluster s TACC Ranger to assess and compare execution speed and scalability for a prototypical operational simulation,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Prediction errors in the SLOSH model can arise from differences between the parametric wind models which force SLOSH and the actual hurricane wind field Houston and others 1999 as well as discrepancies between the coarse model grid and the actual topography and bathymetry over which the storm will travel,O O O O B I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
All subjects in this study were participants in the Baltimore Longitudinal Study of Aging BLSA a multidisciplinary research project conducted at the Gerontology Research Center National Institute on Aging in Baltimore Maryland,O O O O O O O O O B I I I I I O O O O O O O O O O O O O O O O O
Because the timing interval of the ADR data was 15 min timing drifts between 7,O O O O O O O O O O O O O O O
We couple a statistical deterministic hurricane model with the hydrodynamic model SLOSH sea lake and overland surges from hurricanes to generate a large number of synthetic surge events the SLOSH model simulations are compared to advanced circulation model simulations,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B I O O O O O O O O
Tidal heights and times were obtained from a tide station NOAA National Water Level Observation Network on a dock adjacent to the sampling area,O O O O O O O O O O B B I I I I O O O O O O O O
20 Using data from the Beginning Postsecondary Student Survey a nationally representative sample of students who began college in 2003 2004 the authors found that in the nation as a whole controlling for relevant background characteristics students who enrolled in some online courses during their first year at a community college were more likely than similar students who did not take any of these,O O O O O B I I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
For the case control study we selected participants from the Baltimore Longitudinal Study of Aging BLSA an ongoing prospective observational study of normative aging in communitydwelling volunteers,O O O O O O O O O O B I I I I I O O O O O O O O O O O
Eleven muscle phenotypic traits were included as outcome variables in the study four muscle mass measurements lean soft tissue mass of both arms both legs the trunk and the total body FFM five muscle strength measurements right hand isometric grip strength knee extensor isokinetic peak torques at speeds of 30 s knee isokinetic 30 s and 180 s knee isokinetic 180 s knee extensor,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
For example in a study of two longitudinal cohorts the Baltimore Longitudinal Study of Aging BLSA and the V,O O O O O O O O O O B I I I I I O O O
The SLOSH model is a coastal inundation model used by the National Weather Service for storm surge inundation prediction and hindcasting 37,O B I O O O O O O O O O O O O O O O O O O O
Land cover data were obtained from the 2010 NOAA C CAP files and soil Ellis Callahan Greenfield Sanger Robinson Jones data was obtained from the NRCS Soil Survey Geographic database SSURGO,O O O O O O O O B I I O O O O O O O O O O O O O O O O O O O O
The subjects in the Baltimore Longitudinal Study of Aging BLSA were from the upper middle socioeconomic level and about 73 of the men and 64 of the women had at least one college degree Fozard et al,O O O O B I I I I I O O O O O O O O O O O O O O O O O O O O O O O O O O O
While taking into consideration the effects of a number of variables such as social background and race ethnicity that were extensively studied in the literature from earlier decades this study incorporates the psychological perspective and seeks to explore the influence of less researched but theoretically sound motivational factors on community college transfer,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
2006 track origin points are generated by randomly drawing from a smoothed space time probability distribution estimated from the post 1970 best track Atlantic hurricane data updated from Jarvinen et al,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
In a 12 month study of 1 Testim in hypogonadal men mean Hb and Hct values remained within the normal range,O O O O O O O O O O O O O O O O O O O O O
The MRI data used in this study were obtained from the Alzheimers Disease Neuroimaging Initiative ADNI database http adni,O O O O O O O O O O O B I I I O O O O
The VA NAS is a longitudinal study of aging in initially healthy men established at the Boston VA Outpatient Clinic in 1963 Bell et al,O O O O O O O O O O O O O O O O O O O O O O O O O
This extreme typhoon event with a 100 year return period was determined beforehand by using the historical data of typhoons passing through the island from 1897 to 2001,O O O O O O O O O O O O O O O O O O O O O O O O O O O O
2007 has been recently adapted to diffusion tensor imaging data Fortin et al,O O O O O O O O O O O O O
For the Baltimore Longitudinal Study of Aging BLSA we aim at identifying optimal designs for recovering Body Mass Index BMI profiles from sparse measurements and for predicting a subject s systolic blood pressure SBP at old age,O O B I I I I I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Between March 2007 and September 2017 a total of 1114 BLSA participants 22 to 95 year olds at first visit women n 575 men n 539 were eligible for this study providing 2440 person visits,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
In the current study we examined the association between locus of control and peer relationships among Caucasian Hispanic Asian and African American adolescents using two large scale nationally representative data sets the Early Childhood Longitudinal Study ECLS K eight graders 2007 and the National Education Longitudinal Study NELS Waves 1 eight graders 1988 and 2 tenth graders 1990,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B I I I O O O O O O O O O O O
The Statistical Package for the Social Sciences SPSS software was used to analyze all data collected in both studies although different versions of the software were utilized,O O O O O O O O O O O O O O O O O O O O O O O O O O O
Although some studies try to offer a comprehensive analysis of the available data and describe it with optimizes models 1 still the amount of available data is one of the main problems in case of AD diagnostics,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
0 for the whole population of mathematical teachers in the courses considered in this study,O O O O O O O O O O O O O O O
In general the original unmodified SLOSH model accurately estimates the maximum storm surges at Narragansett Bay,O O O O O B I O O O O O O O O O
The best estimate to date of prevalence comes from an extensive study of 2 014 Norwegian men aged 40 59 years,O O O O O O O O O O O O O O O O O O O O O
In addition if the tropical cyclone is threatening a coastal region of the United States the NHC runs the SLOSH model for the appropriate basins for the expected tropical cyclone track and intensity,O O O O O O O O O O O O O O O O O O O B I O O O O O O O O O O O O
This study suggests that there is insufficient evidence linking vestibular loss and AD pathology specifically A deposition in healthy older adults,O O O O O O O O O O O O O O O O O O O O O
The SLOSH model has served the nation well for several decades but recent studies suggest that improvement in surge forecasts could be made through updating the model physics and algorithms Bunya et al,O B I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Utilizing data from a sample of male adult offenders participated in the Maryland boot camp experiment Ngo et al,O O O O O O O O O O O O O O O O O O O
Participants who had a body mass index BMI kg m 2 over 40 were not included in this study because of technical difficulty of positioning the pelvic markers needed in gait analysis,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
We compare the maximum storm surge values attained over the duration of the storm to those estimated by each version of the SLOSH model,O O O O O O O O O O O O O O O O O O O O O O B I
10 In previous studies 6 7 of ASYMAD in the Baltimore Longitudinal Study of Aging BLSA we found significant hypertrophy of cell bodies nuclei and nucleoli in neurons of CA1 hippocampus CA1 anterior cingulate gyrus ACG posterior cingulate gyrus PCG and primary visual cortex PVC,O O O O O O O O O O B I I I I I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
The funders had no role in study design data collection and analysis decision to publish or preparation of the manuscript,O O O O O O O O O O O O O O O O O O O O
This small discrepancy is mainly due to the small sample size available to us in this study which typically leads to the jittery performance curves shown in Fig,O O O O O O O O O O O O O O O O O O O O O O O O O O O O
The northern coast of the Yucat n Peninsula is the first land mass to interact with the CACS events after they have crossed the Gulf of Mexico where the wind speed can reach up to 30 m s 1 according to measurements from the National Data Buoy Centre NDBC stations and Schultz et al,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
For instance one question asked whether the student had a quiet place to study at home,O O O O O O O O O O O O O O O O
d The study could be a published or unpublished study,O O O O O O O O O O
The 2 D depth averaged module of AD CIRC is used in this study,O O O O O O O O O O O O O O
A best fit regression line between the two models suggests that the SLOSH model predicts higher values than ADCIRC for surges less than about 4,O O O O O O O O O O O O B I O O O O O O O O O O O
In the Baltimore Longitudinal Study of Aging BLSA IGFBP 2 levels were positively correlated with insulin sensitivity at any time point during the study in men and women of middle to older age 56,O O B I I I I I O O O O O O O O O O O O O O O O O O O O O O O O O O
Although the number of urban schools appears to be roughly comparable between the 1987 88 SASS and other data sources the number of schools classified as rural is higher and consequently the number of suburban schools is lower when compared with Bureau of the Census location data,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
The research data used were generated by The Trends in International Mathematics and Science Study TIMSS and the National Education Longitudinal Study of 1988 NELS 88,O O O O O O O O O O O O O O O O O O B I I I O O O O
A similar change analysis study was completed by the NOAA C CAP for the period of 1989 to 1992,O O O O O O O O O B I I O O O O O O O
2010 Institute for Water Resources 2015 and the availability of funding to study mitigation sites was reduced,O O O O O O O O O O O O O O O O O
re drawn from two large national longitudinal studies the National Education Longitudinal Study 1988 and the Beginning Postsecondary Studentn Longitudinal Study,O O O O O O O O O B I I I O O O O O O O O
elegans a recent study has shown that C,O O O O O O O O
Statistical methods used in the following analyses were applied separately to two ongoing longitudinal cohort studies of human aging the Baltimore Longitudinal Study of Aging BLSA 38 initiated in 1958 and conducted by the Intramural Research Program of the National Institute on Aging and the Wisconsin Registry for Alzheimer s Prevention WRAP 39 initiated in 2001 and conducted by the University of Wisconsin Alzheimer,O O O O O O O O O O O O O O O O O O O O B I I I I I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
24 The SLOSH model simulated surges compare relatively well with the ADCIRC model simulated surges Figures 7 and 8 assuring us of its reasonable accuracy for surge risk assessment for New York City,O O B I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
In a SEM there are two options for treating data that are Missing Completely at Random or Missing at Random Little and Rubin 1987 Schafer 2000,O O O O O O O O O O O O O O O O O O O O O O O O O O
The data for this study consist of the baseline and third follow up surveys of the National Education Longitudinal Study of 1988 NELS,O O O O O O O O O O O O O O O O B I I I O O O
The SLOSH model developed by Jelesnianski et al,O B I O O O O O
In contrast using cross sectional data on 10 th graders participating in the National Education Longitudinal Study of 1988 NELS 88 Ehrenberg Goldhaber and Brewer 1995 found that a teacher s gender was not associated with the achievement gains of girls or boys,O O O O O O O O O O O O O B I I I O O O O O O O O O O O O O O O O O O O O O O O O O O
A wide range of data is gathered on the adolescents in the study,O O O O O O O O O O O O O
We apply our method on a subset of the Alzheimers Disease Neuroimaging Initiative ADNI dataset that includes T1 weighted MR images and 620 000 genetic variants for 228 AD patients and 187 normal controls NC,O O O O O O O O O B I I I O O O O O O O O O O O O O O O O O O O O O O
In a study of synthetic high impact low frequency events in Tampa Bay FL 26 it was determined that although the choice of the axisymmetric wind profile V r had only a moderate effect on the values of peak winds its impact on associated storm surges was more substantial,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Of the 1480 North Atlantic storms in the Best Track data set between 1851 and 2012 297 about 20 meet the proximity and intensity criteria resulting in a historical annual frequency of 1,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Conditional logistic regression was used to estimate the odds ratios ORs for prostate cancer based on the study specific fifth of each analyte,O O O O O O O O O O O O O O O O O O O O O O O
Second our data suggest that access to the myriad career development activities offered by high schools may be especially restricted for youth with severe disabilities or EBD,O O O O O O O O O O O O O O O O O O O O O O O O O O O
To this end LiDAR data which describe plant canopy and subcanopy topographies 39 have proven useful in characterizing horizontal and vertical stand structure including understory and ground cover 73,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Special consideration must be given to the study zone edges and corners which generally do not coincide with cell boundaries and to the places where grids of different densities merge,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
This prospective study found that 32 of all fallers suffered a major injury,O O O O O O O O O O O O O
ADNI data This study used 1091 individual data from ADNI with a total of 2380 longitudinal data,O O O O O O O O O O O O O O O O O
Several studies have shown that the SLOSH model sufficiently represents hurricane wind fields 40 41 42 however it is expected that the wind profile can be better approximated by including some of the known physical mechanisms that occur in the storm,O O O O O O B I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
The National Water Level Observation Network NWLON is a network of tide stations that provides information on local tidal datums and sea level trends,O B I I I I O O O O O O O O O O O O O O O O O O
In such cases the modeler must interpolate water level values between actual water level measurements within the study area,O O O O O O O O O O O O O O O O O O O
Yearbooks from 1957 were not obtained early in the study,O O O O O O O O O O
We evaluated the association of use of aspirin and nonaspirin NSAIDs with subsequent prostate cancer risk in the ongoing prospective Baltimore Longitudinal Study of Aging BLSA,O O O O O O O O O O O O O O O O O O O O B I I I I I
Another recent study based on marsh sediments from Mattapoisett Massachusetts also did not detect large variations in storm frequency over the last two millennia Boldt et al,O O O O O O O O O O O O O O O O O O O O O O O O O O O
8 may not represent a true estimate of the bias of this model since other studies using winds specifically intended for SLOSH applications have indicated that the SLOSH model does not produce a bias of this magnitude in general,O O O O O O O O O O O O O O O O O O O O O O O O O O O B I O O O O O O O O O O
The data used for this study are fully extended weight bearing radiographs taken during a regularly scheduled study visit of the Baltimore Longitudinal Study of Aging BLSA Shock et al,O O O O O O O O O O O O O O O O O O O O O B I I I I I O O O
Studies using data from the National Education Longitudinal Study NELS 88 found little evidence of a relationship between paid work hours and school performance once prior differences between individuals are taken into account Schoenhals Tienda and Schneider 1997 Warren LePore and Mare 2001 but see Marsh and Kleitman 2005,O O O O O B I I I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Examples of such studies include both large epidemiological cohorts such as the National Health and Nutrition Examination Survey NHANES 1 and the Baltimore Longitudinal Study of Aging BLSA 2 and clinical studies of chronic disease such as Alzheimer s Disease 3 Multiple Sclerosis 4 and Heart Disease 5,O O O O O O O O O O O O O O O O O O O O O O B I I I I I O O O O O O O O O O O O O O O O O O O O
In this study we evaluate the impacts of future global warming on WNP TCs using PGW based on the Weather Research and Forecasting WRF model 23 with a horizontal resolution of 5 km and quantify the influences on storm surges with a numerical storm surge model namely the Sea Lake and Overland Surges from Hurricanes SLOSH model 24,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B I O
So Jack didn t think of himself as college material and even if he was he didn t know what to study,O O O O O O O O O O O O O O O O O O O O O O
Census Bureau 2007 data show that people with a B,O O O O O O O O O O
The SLOSH model transport equations were derived by Platzman 9 in which the dissipation is determined solely by an eddy viscosity coefficient,O B I O O O O O O O O O O O O O O O O O O O
There has also been extensive research on individual postsecondary educational outcomes using nationally representative samples such as the Beginning Postsecondary Student Longitudinal Study BPS and NELS and this research has shown that students who have stronger high school records who come from higher income families whose parents went also went to college who do not delay college entry after high school who attend full,O O O O O O O O O O O O O O O O O O B I I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
data including current tax and education policies in section 6 of the paper part 7 displays the results and interpretation of the optimal taxation analysis,O O O O O O O O O O O O O O O O O O O O O O O O O
Traditional data management can t adapt to the new features of current tidal level information such as the temporal features realtime update,O O O O O O O O O O O O O O O O O O O O O O
In addition to the variables contained in Add Health we use natality data from the NCHS Vital Statistics to judge how well mixed race individuals fare at birth,O O O O O O O O O O O O O O O O O O O O O O O O O O O O
The review study that included 17 randomized control trials mentioned above had many limitations as most studies used daily doses less than 2000 IU to above 5000 IU of Vitamin D2 or D3,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
In order not to bias the results by introducing knowledge from the test data in the evaluation we use a leave one out scheme to compute the AUROC and the classification accuracy,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Most notable are the studies based on three national databases High School and Beyond the National Assessment of Educational Progress and the National Education Longitudinal Study,O O O O O O O O O O O O O O O O O O O O O O B I I I
Official tropical wind speed data are typically 1 minute maximum sustained surface winds defined as the maximum wind speed sustained for 1 minute at an elevation of 10 meters considered surface or ground level elevation within the hurricane eyewall at landfall,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
This study focused on direct human vulnerability to flooding,O O O O O O O O O
The SLOSH model was originally developed by the Techniques Development Laboratory of the National Weather Service NWS as a real time operational surge forecast that could be run once the appropriate tropical cyclone track and pressure data became available,O B I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Given the longevity and widespread use of the SLOSH model ODU elected to use SLOSH model water level output and to evaluate the probabilistic SLOSH forecasts 27 for a bathtub campus flooding model,O O O O O O O O B I O O O O B I O O O O O O O O O O O O O O O O O
More recently Attewell Heil Reisel 2012 used data from the National Education Longitudinal Study of 1988 NELS 88 to conduct a study from the academic momentum perspective which posits that students who accumulate credits more quickly improve their chances of completing a college degree independent of academic readiness or socioeconomic status,O O O O O O O O O O B I I I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
The computation scheme of the SLOSH model is based on the Arakawa B grid Jelesnianski et al,O O O O O B I O O O O O O O O O O
In this study we demonstrate that both IGT and T2DM have an adverse association with hip geometry as measured by CSA and Z in postmenopausal women,O O O O O O O O O O O O O O O O O O O O O O O O O O
National Education Longitudinal Study shows data on which 10th grade students expect to go to college despite their SES and race NECS 2004 076 p,B I I I O O O O O O O O O O O O O O O O O O O O O
In doing so this study shows that social capital parents possess can promote their financial preparation for their children s college education as well as the college degree completion using data from the National Education Longitudinal Study of 1988 NELS 1988,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B I I I O O O O
I utilize two National Center for Education Statistics data sets in this article the National Education Longitudinal Study of 1988 NELS 88 00 restricted data and the publicly available Common Core of Data CCD,O O O O O O O O O O O O O O B I I I O O O O O O O O O O O O O O O O
As a second example we discuss a functional regression analysis of systolic blood pressure trajectories responses on body mass index trajectories predictor using anonymous data from the Baltimore Longitudinal Study of Aging BLSA a major longitudinal study of human aging Shock et al,O O O O O O O O O O O O O O O O O O O O O O O O O O O B I I I I I O O O O O O O O O O
We extracted wetland extent and change data for U,O O O O O O O O O
4 7 Similarly positive correlation between SBP and IOP was evident in the Baltimore Longitudinal Study of Aging BLSA and 2 large Japanese studies that included normal subjects,O O O O O O O O O O O O O B I I I I I O O O O O O O O O
According to the National Hurricane Center the Sea Lake and Overland Surges from Hurricanes SLOSH model is a computerized numerical model developed by the National Weather Service NWS to estimate storm surge heights resulting from historical hypothetical or predicted hurricanes by taking into account atmospheric pressure size forward speed and track data,O O O O O O O O O O O O O O B I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Given the association between AD and depression in the preclinical phase of AD and the potential involvement of AD pathology in the development of late life depression this autopsy study examined the rates of depression in cognitively normal individuals with AD pathology at autopsy,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
In the current study accurate statistical analysis required controlling for considerable between classroom differences and the fact that a majority of the TI students were clustered in two classrooms,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
RTs are non parametric models used to relate a single response variable to categorical and numeric independent variables by recursive binary partitioning of input data into more homogeneous groups,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
In the original unmodified SLOSH model the magnitude of the radially variable factor used in the background wind 1 has a maximum value of 0,O O O O B I O O O O O O O O O O O O O O O O O O O
Body mass index BMI kg m 2 was derived from the weight and height data,O O O O O O O O O O O O O O O
The CMS model domain used for this study covers a 7x7 kilometer km 4,O O O O O O O O O O O O O O
When sets of library are selected appropriately the method can achieve state of the art performance for several data sets even when the data are related to disease such as Alzheimers Disease Neuroimaging Initiative 47,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B I I I O
As part of a modernization effort for NOAA s National Water Level Observation Network acoustic ranging water level systems are being transitioned to microwave radar sensors,O O O O O O O O O B I I I I O O O O O O O O O O O O
The former study find that visible minority immigrant youths in Canada are more likely to aspire to go to university than Canadian born non visible minority counterparts,O O O O O O O O O O O O O O O O O O O O O O O O O O O
In a forensics study or in investigations of potential storm surge model performance detailed wind fields prepared from a combination of analyses and measurements are typically used to drive high resolution numerical simulations Dietrich et al,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Strengths of our study include conducting both crosssectional and longitudinal analyses in a well characterized cohort of women and men free of CVD at baseline adjusted for important demographic socioeconomic and cardiovascular factors,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
A participant was defined using the algorithmic classification as progressing from cognitively normal to MCI if they did not meet criteria at their baseline study visit but later met algorithmic criteria during at least two consecutive follow up study visits,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
The major independent variable in this study is school sizethe enrollment in each school in 1996 1997,O O O O O O O O O O O O O O O O O
Persons interested in obtaining data from Add Health should contact Add Health Carolina Population Center 123 W,O O O O O O O O O O O O O O O O O
According to a study conducted by National Assessment of Vocational Education 1994 employers had a positive view of postsecondary education and that there was some empirical evidence that postsecondary occupational education completers received higher wages than community college program completers who failed to complete a vocational program cited in Jacobs 2001 p,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
We tested our hypothesis in two independent cohorts derived from the Study of Osteoporotic Risk in Men STORM and the Baltimore Longitudinal Study of Aging BLSA,O O O O O O O O O O O O O O O O O O O O B I I I I I
This afforded us the opportunity to use the NOAA C CAP and CBLCD data sources that were more accurate than NLCD e,O O O O O O O O B I I O O O O O O O O O O O
Additionally the differences could be due to the fact that the simulated storms from FSU COAPS model rather than the historical storms are used for JPM and JPM OS in this study,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
The NOAA NHC Probabilistic Tropical Storm Surge P Surge model routes simulated meteorological variables through a SLOSH model to determine potential storm surge heights at the coast with a 3day lead time https slosh,O O O O O O O O O O O O O O O O B I O O O O O O O O O O O O O O O O
Based on the Baltimore Longitudinal Study of Aging BLSA large cohort study Parsons 31 developed a model in which the volume of the prostate is greater by 0,O O O B I I I I I O O O O O O O O O O O O O O O O O O O
We apply our natural history model to PSA data from the Baltimore Longitudinal Study of Aging BLSA,O O O O O O O O O O O B I I I I I
Finally the model included student s scores of science achievement tests National Education Longitudinal Study of 1998,O O O O O O O O O O O B I I I O O
Denote W j as the l n data matrix for occasion j 1 2 with columns W 1j W nj,O O O O O O O O O O O O O O O O O O O O
Since our study design excluded men who had had prior treatment for prostate disease the proportion of men with lower PSA levels was somewhat greater than that in screened populations,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
In particular we used the National Education Longitudinal Study to follow the 1988 cohort of eighth grade students through adolescence and young adulthood and we observed how orientations towards STEM fields emerge and change during these years,O O O O O B I I I O O O O O O O O O O O O O O O O O O O O O O O O O O O O
One certainty that applies to all tidal marshes is the need for continued long term monitoring and study both to understand how these important ecosystems respond to SLR and other stressors associated with climate change and to evaluate the management actions implemented to protect them,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
We utilize data from the NELS which is a comprehensive longitudinal national survey of 24 599 eighth grade students from 815 public schools and 237 private schools their parents teachers and school administrators,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
RESEARCH DESIGN AND METHODS The 1 236 men included in this study are participants in the Baltimore Longitudinal Study of Aging BLSA,O O O O O O O O O O O O O O O O B I I I I I
Using data on a sample of all applicants in the early 1990s they find that failing to consider a candidate s minority status in admission would reduce the probability of acceptance for African Americans from 70 percent the actual figure to 52 percent,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
We examined longitudinal patterns of change in blood pressure in healthy male and female volunteers from the Baltimore Longitudinal Study of Aging BLSA,O O O O O O O O O O O O O O O O O B I I I I I
In designing our data collection we used a cluster sampling approach selecting districts then selecting schools within those districts and finally selecting teachers within the schools See Table 1,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
fatigability ability and time to complete a fast 400 meter walk 11 by cancer history in participants from the Baltimore Longitudinal Study of Aging BLSA a well functioning cohort of middle aged and older adults,O O O O O O O O O O O O O O O O O O O B I I I I I O O O O O O O O O O
In this work we investigate the effect of the surface wind field representation on storm surge predictions of the SLOSH model,O O O O O O O O O O O O O O O O O O O B I
Using census data from 1940 to the present we show that black women have long held an advantage over black men in college completion which differs sharply from the changing gap in college completion among white men and women,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Another limitation of our study is that our results may not be broadly generalizable because our cohort consisted of primarily white well educated adults,O O O O O O O O O O O O O O O O O O O O O O O O
It uses the latest and best available lidar data for areas along the coast,O O O O O O O O O O O O O O
In addition the AddHealth sample is age heterogeneous with many participants having already completed puberty by the study s onset,O O O O O O O O O O O O O O O O O O O O
Each interpolated smoothed value of xc zc xt zt and m was assigned a RMS error calculated from the scatter of the data in the smoothing window fig,O O O O O O O O O O O O O O O O O O O O O O O O O O O O
The main limitation of the study is that the device used to record RTs did not store the results of the individual trials,O O O O O O O O O O O O O O O O O O O O O O O
Each grid cell in a SLOSH basin has either topographic or bathymetric data associated with it,O O O O O O O O O O O O O O O O
The Baltimore Longitudinal Study of Aging BLSA is a prospective study of community dwelling healthy volunteers conducted by the National Institute on Aging since 1958,O B I I I I I O O O O O O O O O O O O O O O O O O
In the SLOSH model the background wind field is modeled as a radially variable fraction of the storm s translational speed V s and the axisymmetric wind profile is modeled as a radially variable fraction of the storm s maximum wind speed V max,O O B I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
investigated samples from two large cohorts of patients the Baltimore Longitudinal Study of Aging BLSA and the Age Gene Environment Susceptibility Reykjavik Study AGES RS comprising 392 patients in total 22,O O O O O O O O O B I I I I I O O O O O O O O O O O O O O O O
Data sets in the experiment population did not exclude participants that had suffered some form of brain trauma such as stroke,O O O O O O O O O O O O O O O O O O O O O
Using data from the National Education Longitudinal Study this study investigated differences in the mathematics course taking of white and black students,O O O O B I I I O O O O O O O O O O O O O O
For a discussion of general limitations of the NELS 88 2000 design methodology and data contents see Curtin et al,O O O O O O O O O O O O O O O O O O O O
The Baltimore Longitudinal Study of Aging BLSA is ideal because of the long term neuropsychological and clinical follow up careful clinical diagnoses and the large number of incident cases of AD,O B I I I I I O O O O O O O O O O O O O O O O O O O O O O O O
79 However the most compelling data regarding the role of estrogens in the treatment of AD come from three prospective randomized placebocontrolled trials published in 2000,O O O O O O O O O O O O O O O O O O O O O O O O O O
Our study is strengthened by the use of dietary records which is considered the gold standard of dietary assessment,O O O O O O O O O O O O O O O O O O O
According to the NOAA best track data set Landsea et al,O O O O O O O O O O O
The study has been described in detail elsewhere Costa et al 2007 Pilia et al 2006 Terracciano et al 2008 Terracciano et al 2009b,O O O O O O O O O O O O O O O O O O O O O O O O
Application of these findings to the NHC operational SLOSH model where the domain has been expanded to include the entire WFS dramatically improved the model solution for the storm surge during Hurricane Dennis,O O O O O O O O B I O O O O O O O O O O O O O O O O O O O O O O O
Data used in the experiments for this work were obtained directly from the Alzheimers Disease Neuroimaging Initiative ADNI database adni,O O O O O O O O O O O O O B I I I O O O
Older controls n 7 were 76 96 years and were from the Baltimore Longitudinal Study of Aging BLSA,O O O O O O O O O O O O B I I I I I
A cover class was then assigned to each spectral cluster using ancillary data sets consisting mostly of field measurements,O O O O O O O O O O O O O O O O O O O
Using data from 8 223 teen women enrolled in the National Education Longitudinal Study of 1988 NELS 88 a nationally representative cohort study of students who were in eighth grade in 1988 the author found that among white and Hispanic teens but not black teens school dropout was predictive of teen birth,O O O O O O O O O O B I I I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
The sample is not representative of all community college students so we check our results against an analysis using the National Education Longitudinal Study of 1988 henceforth NELS 88,O O O O O O O O O O O O O O O O O O O O B I I I O O O O O
